TTY1	RELA	TTY2	INCLUDE
BN	reformulated_to	BN	Yes
BN	reformulation_of	BN	Yes
BN	tradename_of	IN	Keyword
BN	has_precise_ingredient	PIN	Keyword
BN	ingredient_of	SBD	Yes
BN	ingredient_of	SBDC	Yes
BN	ingredient_of	SBDF	Yes
BN	ingredient_of	SBDG	Yes
BPCK	has_dose_form	DF	No
BPCK	tradename_of	GPCK	Yes
BPCK	contains	SBD	Yes
BPCK	contains	SCD	Yes
DF			No
DFG			No
GPCK	has_tradename	BPCK	Yes
GPCK	has_dose_form	DF	No
GPCK	contains	SCD	Keyword
IN	has_tradename	BN	Keyword
IN	part_of	MIN	Keyword
IN	has_form	PIN	Keyword
IN	ingredient_of	SCDC	Keyword
IN	ingredient_of	SCDF	Keyword
IN	ingredient_of	SCDG	Keyword
IN	boss_of	SCDFP	Keyword
MIN	has_part	IN	Keyword
MIN	has_part	PIN	Keyword
MIN	ingredients_of	SCD	Yes
PIN	precise_ingredient_of	BN	Yes
PIN	form_of	IN	Keyword
PIN	part_of	MIN	Yes
PIN	precise_ingredient_of	SCDC	Yes
PIN	boss_of	SCDFP	Yes
SBD	has_ingredient	BN	Yes
SBD	contained_in	BPCK	Yes
SBD	has_dose_form	DF	No
SBD	quantified_form_of	SBD	Yes
SBD	has_quantified_form	SBD	Yes
SBD	consists_of	SBDC	Yes
SBD	isa	SBDF	Keyword
SBD	isa	SBDFP	Keyword
SBD	isa	SBDG	Keyword
SBD	tradename_of	SCD	Yes
SBD	consists_of	SCDC	Yes
SBDC	has_ingredient	BN	Yes
SBDC	constitutes	SBD	Yes
SBDC	tradename_of	SCDC	Yes
SBDF	has_ingredient	BN	Yes 
SBDF	has_dose_form	DF	No
SBDF	inverse_isa	SBD	Yes
SBDF	isa	SBDG	Yes
SBDF	tradename_of	SCDF	Yes
SBDF	has_form	SBDFP	Yes
SBDFP	form_of	SBDF	Yes
SBDFP	tradename_of	SCDFP	Yes
SBDFP	inverse_isa	SBD	Yes
SBDG	has_ingredient	BN	Yes 
SBDG	has_doseformgroup	DFG	No
SBDG	inverse_isa	SBD	Yes
SBDG	inverse_isa	SBDF	Yes
SBDG	tradename_of	SCDG	Keyword
SBDG	tradename_of	SCDGP	Yes
SCD	contained_in	BPCK	Yes
SCD	has_dose_form	DF	No
SCD	contained_in	GPCK	Yes
SCD	has_ingredients	MIN	Yes
SCD	has_tradename	SBD	Yes
SCD	quantified_form_of	SCD	Yes
SCD	has_quantified_form	SCD	Yes
SCD	consists_of	SCDC	Yes
SCD	isa	SCDF	Keyword
SCD	isa	SCDG	Keyword
SCD	isa	SCDFP	Yes
SCDC	has_ingredient	IN	Keyword
SCDC	has_precise_ingredient	PIN	Keyword
SCDC	constitutes	SBD	Yes
SCDC	has_tradename	SBDC	Yes
SCDC	constitutes	SCD	Yes
SCDF	has_dose_form	DF	No
SCDF	has_ingredient	IN	Keyword
SCDF	has_tradename	SBDF	Keyword
SCDF	inverse_isa	SCD	Yes
SCDF	isa	SCDG	Keyword
SCDF	has_form	SCDFP	Yes
SCDFP	inverse_isa	SCD	Yes
SCDFP	has_tradename	SBDFP	Yes
SCDFP	form_of	SCDF	Yes
SCDFP	isa	SCDGP	Yes
SCDFP	has_boss	IN	Keyword
SCDFP	has_boss	PIN	Keyword
SCDG	has_doseformgroup	DFG	No
SCDG	has_ingredient	IN	Keyword
SCDG	has_tradename	SBDG	Keyword
SCDG	inverse_isa	SCD	Yes
SCDG	inverse_isa	SCDF	Yes
SCDGP	has_tradename	SBDG	Keyword
SCDGP	inverse_isa	SCDFP	Yes
SCDGP	form_of	SCDG	Keyword
